id,source,title,year,journal,doi,pmid,abstract,include
61,pubmed,Dermatologists Can Treat Ocular Rosacea: An Abbreviated Review of Intense Pulsed Light for Rosacea Eye Disease.,2024,Dermatologic surgery : official publication for American Society for Dermatologic Surgery [et al.],10.1097/DSS.0000000000004192,38595166,,
62,pubmed,Industry Perceptions and Experiences with the Access Consortium New Active Substance Work-Sharing Initiative (NASWSI): Survey Results and Recommendations.,2024,Therapeutic innovation & regulatory science,10.1007/s43441-024-00624-7,38459358,"The Access Consortium New Active Substance Work-Sharing Initiative, or ""Access"" for simplicity, allows regulatory authorities (RAs) of the Access Consortium countries to jointly review applications for the registration of new active substances or for new indications. Using a survey developed by the pharmaceutical industry trade associations of the five Access Consortium countries-Australia, Canada, Singapore, Switzerland, and the United Kingdom (UK)-this study gathered insights into the perceptions and experiences of the Access pathway held by affiliates of pharmaceutical companies. Understand",
63,pubmed,Collaboration within the global vaccine safety surveillance ecosystem during the COVID-19 pandemic: lessons learnt and key recommendations from the COVAX Vaccine Safety Working Group.,2024,BMJ global health,10.1136/bmjgh-2023-014544,38453518,"This analysis describes the successes, challenges and opportunities to improve global vaccine safety surveillance as observed by the Vaccine Safety Working Group from its role as a platform of exchange for stakeholders responsible for monitoring the safety of vaccines distributed through the COVAX mechanism. Three key elements considered to be essential for ongoing and future pandemic preparedness for vaccine developers in their interaction with other members of the vaccine safety ecosystem are (1) the availability of infrastructure and capacity for active vaccine safety surveillance in low-in",
64,pubmed,"Safety of the novel oral poliovirus vaccine type 2 (nOPV2) in infants and young children aged 1 to <5 years and lot-to-lot consistency of the immune response to nOPV2 in infants in The Gambia: a phase 3, double-blind, randomised controlled trial.",2024,"Lancet (London, England)",10.1016/S0140-6736(23)02844-1,38402887,Novel oral poliovirus vaccine type 2 (nOPV2) has been engineered to improve the genetic stability of Sabin oral poliovirus vaccine (OPV) and reduce the emergence of circulating vaccine-derived polioviruses. This trial aimed to provide key safety and immunogenicity data required for nOPV2 licensure and WHO prequalification. This phase 3 trial recruited infants aged 18 to <52 weeks and young children aged 1 to <5 years in The Gambia. Infants randomly assigned to receive one or two doses of one of three lots of nOPV2 or one lot of bivalent OPV (bOPV). Young children were randomised to receive two,
65,pubmed,The Role of the European Medicines Agency in the Safety Monitoring of COVID-19 Vaccines and Future Directions in Enhancing Vaccine Safety Globally.,2024,Drug safety,10.1007/s40264-024-01405-9,38396269,"The European Union (EU) regulatory network was at the forefront of the safety monitoring of COVID-19 vaccines during the pandemic. An unprecedented number of case reports of suspected adverse reactions after vaccination called for huge efforts for the assessment of this safety information, to ensure that any possible risks were detected and managed as early as possible, while ruling out coincidental but temporally related adverse health outcomes. We describe the role of the European Medicines Agency alongside the EU regulatory network in the safety monitoring of the COVID-19 vaccines, and prov",
66,pubmed,One billion doses and WHO prequalification of nOPV2: Implications for the global polio situation and beyond.,2024,PLOS global public health,10.1371/journal.pgph.0002920,38335217,,
67,pubmed,"Tolerability, safety, and immunogenicity of the novel oral polio vaccine type 2 in children aged 6 weeks to 59 months in an outbreak response campaign in The Gambia: an observational cohort study.",2024,The Lancet. Infectious diseases,10.1016/S1473-3099(23)00631-X,38237616,"Novel oral polio vaccine type 2 (nOPV2) has been used to interrupt circulating vaccine-derived poliovirus type 2 outbreaks following its WHO emergency use listing. This study reports data on the safety and immunogenicity of nOPV2 over two rounds of a campaign in The Gambia. This observational cohort study collected baseline symptoms (vomiting, diarrhoea, irritability, reduced feeding, and reduced activity) and axillary temperature from children aged 6 weeks to 59 months in The Gambia before a series of two rounds of a nOPV2 campaign that took place on Nov 20-26, 2021, and March 19-22, 2022. Se",
68,pubmed,American College of Medical Toxicology and the American Academy of Clinical Toxicology position statement: nalmefene should not replace naloxone as the primary opioid antidote at this time.,2023,"Clinical toxicology (Philadelphia, Pa.)",10.1080/15563650.2023.2283391,38039052,"Nalmefene is a potent opioid antagonist that has recently been reintroduced in the United States to treat known or suspected opioid overdose. The injection formulation, which had been withdrawn in 2008, was reintroduced in 2022, and in 2023 the United States Food and Drug Administration approved a new intranasal formulation of nalmefene. Because nalmefene had been previously approved for use in 1995 via injection, the new intranasal formulation did not require new clinical data as it was approved under an Abbreviated New Drug Application. Inherent to this abbreviated approval process, intranas",
69,pubmed,"Worldwide Regulatory Reliance: Launching a Pilot on a Chemistry, Manufacturing, and Control Post Approval Change for a Vaccine.",2024,PDA journal of pharmaceutical science and technology,10.5731/pdajpst.2023.012850,37973190,"When an initial marketing authorization of a pharmaceutical product is granted, a substantial number of chemistry, manufacturing, and control (CMC) post approval changes (PACs) have to be managed by the manufacturers. Despite efforts undertaken over the years by multiple regulatory jurisdictions, there is still heterogeneity in terms of regulatory requirements and timelines across national regulatory authorities (NRAs). This creates complexity in managing global CMC PACs, putting the supply of medical products at risk. Regulators have developed regulatory mechanisms that aim at accelerating th",
70,pubmed,Expanding regulatory science: Regulatory complementarity and reliance.,2024,Clinical and translational science,10.1111/cts.13683,37957894,"Drug regulatory institutions, infrastructures, and systems are becoming increasingly interconnected across national boundaries and increasingly global in outlook. This process is reflected in the broadening and deepening application of the principles and practice of Regulatory Reliance, and parallel initiatives to strengthen the capacities of regulatory institutions in low- and middle-income countries (LMICs). Although these developments are important and constructive, they have tended to be framed in terms of the transfer of systems, knowledge, and skills from relatively ""mature"" regulatory a",
71,pubmed,Scaling malaria interventions: bottlenecks to malaria elimination.,2023,BMJ global health,10.1136/bmjgh-2023-013378,37949501,"The slow progress in malaria control efforts and increasing challenges have prompted a need to accelerate the research and development (R&D), launch and scaling of effective interventions for malaria elimination. This research, including desk research and key informant interviews, identified the following challenges along the end-to-end scale-up pathway of malaria interventions. Underinvestment in malaria R&D persists, and developers from low-resource settings are not commonly included in the R&D process. Unpredictable or unclear regulatory and policy pathways have been a hurdle. The private s",
72,pubmed,The pipeline for drugs for control and elimination of neglected tropical diseases: 2. Oral anti-infective drugs and drug combinations for off-label use.,2023,Parasites & vectors,10.1186/s13071-023-05909-8,37907954,"In its 'Road map for neglected tropical diseases 2021-2030', the World Health Organization outlined its targets for control and elimination of neglected tropical diseases (NTDs) and research needed to achieve them. For many NTDs, this includes research for new treatment options for case management and/or preventive chemotherapy. Our review of small-molecule anti-infective drugs recently approved by a stringent regulatory authority (SRA) or in at least Phase 2 clinical development for regulatory approval showed that this pipeline cannot deliver all new treatments needed. WHO guidelines and coun",
73,pubmed,Factors associated with the utilization of diagnostic tools among countries with different income levels during the COVID-19 pandemic.,2023,Global health research and policy,10.1186/s41256-023-00330-1,37885008,"Disparities in the utilization of essential medical products are a key factor contributing to inequality in health outcomes. We aimed to analyze the trends and influencing factors in using Coronavirus disease 2019 (COVID-19) diagnostic tools and disparities in countries with different income levels. We conducted a cross-sectional study using open and publicly available data sources. Data were mainly collected from the Foundation for Innovative New Diagnostics, ""Our World in Data,"" and the Global Burden of Disease databases. Negative binomial regression model and generalized linear mixed model ",
74,pubmed,The use of in silico molecular modelling to screen potential estrogen mimics as part of medicines and agrochemicals development and product license applications.,2023,Toxicology in vitro : an international journal published in association with BIBRA,10.1016/j.tiv.2023.105721,37875181,"Estrogen mimics are a diverse group of synthetic and naturally occurring compounds that can interact with estrogen receptors (ERs) in animals, including humans. These interactions rely on key structural features of 17b-estradiol (E2) and if these molecular features are in a similar spatial arrangement on other compounds, they are likely to elicit an agonist (i.e., they are E2 mimics) or antagonist response. The structural diversity of some compounds vis-à-vis analogies with E2 makes it difficult to reliably predict E2 mimicry on simple structural grounds alone. We propose a new approach method",
75,pubmed,Global regulatory reforms to promote equitable vaccine access in the next pandemic.,2023,PLOS global public health,10.1371/journal.pgph.0002482,37851688,"There is broad consensus that the global response to the Covid-19 pandemic was inadequate, leading to unacceptable levels of avoidable morbidity and mortality. Three strategic missteps led to the lack of equitable vaccine access: The heavy reliance on commercial vaccine manufacturers in high-income countries (HICs) versus low- and middle-income countries (LMICs); the emergence of vaccine nationalism restricting and delaying the supply of vaccines to LMICs; and an inadequate support or recognition for LMIC national regulatory authorities. To avoid these inequities in a future pandemic, we focus",
76,pubmed,"What makes joint assessment procedures attractive to the innovative industry: successes, challenges, and proposed improvements.",2023,Frontiers in medicine,10.3389/fmed.2023.1207954,37731723,"Regulatory harmonization and convergence have been identified as the key driver in promoting efficient evaluation of medicines, reducing workload, and supporting earlier access to medicines on the African continent. There has been great progress to date in enhancing regulatory harmonization and convergence on the African continent via the Regional Economic Communities (RECs) and with the establishment of the Africa Medicines Agency (AMA). In this article, the International Federation of Pharmaceutical Manufacturers and Associations (IFPMA) Africa Regulatory Network (ARN) presents its perspecti",
77,pubmed,"Comparing research and development, launch, and scale up timelines of 18 vaccines: lessons learnt from COVID-19 and implications for other infectious diseases.",2023,BMJ global health,10.1136/bmjgh-2023-012855,37696544,"Over the next decade, millions of deaths could be prevented by increasing access to vaccines in low-income and middle-income countries (LMICs). The COVID-19 pandemic has demonstrated that the research and development (R&D), launch and scale up timelines of vaccines can be drastically shortened. This study compares such timelines for eighteen vaccines and identifies lessons and implications for accelerating the R&D, launch and scale up process for other vaccine candidates. To replicate the rapid R&D process of the COVID-19 vaccines, future vaccine R&D should capitalise on public-private knowled",
78,pubmed,Comparison of the Latin America Regulation Landscape and International Reference Health Authorities to Hasten Drug Registration and Clinical Research Applications.,2023,Therapeutic innovation & regulatory science,10.1007/s43441-023-00565-7,37682461,"Promptly providing new drugs to fulfill unmet medical needs requires changes in drug development and registration processes. Health Authorities (HAs) considered as reference due to their experience and acknowledgement (Food and Drug Administration [FDA] among others) already consider innovative clinical trial (CT) designs and flexible approval procedures, but Latin America (LATAM) regulations are still far. A comparison was performed to identify gaps. CT requirements for drug Marketing Authorization Application (MAA) and CT approval regulations were compared between LATAM and reference HAs (FD",
79,pubmed,"SHAPES Marketplace: Transparency, Trust and Fair Competition in the Healthy Ageing Market.",2023,Studies in health technology and informatics,10.3233/SHTI230595,37638898,"Access to digital health and care solutions and services that promote healthy ageing, independent living, and ageing in place is limited due to significant market barriers and challenges. The SHAPES project addresses the challenge of ageing populations by developing a sociotechnical ecosystem comprising a variety of health and care digital solutions, tools and services to enable and facilitate active, independent, and healthy ageing at home. Within the SHAPES project, the SHAPES Marketplace serves as a one-stop-shop for digital solutions and services designed for the Silver Economy that target",
80,pubmed,A Mixed Methods Study to Explore Relevant Metrics for a Results Framework Measuring the Public Health Impact of Reliance-Based Pathways.,2023,Therapeutic innovation & regulatory science,10.1007/s43441-023-00559-5,37552399,"Reliance-based pathways for the marketing authorization of medical products have been identified as valuable regulatory tools for the timely provision of effective, safe, quality medicines for people worldwide; however, little research has been conducted on the best way to measure the public health impact of using reliance-based pathways. The current mixed methods study was designed to explore which characteristics or ""metrics"" could be used to measure the impact of reliance-based pathways. A quantitative survey (n = 70) and in-depth interviews (IDIs) (n = 10) were employed to query various st",
81,pubmed,Evolving market-shaping strategies to boost access to essential medical products in developing countries with HIV self-testing as a case study.,2023,Global health research and policy,10.1186/s41256-023-00310-5,37443153,"The COVID-9 pandemic has exacerbated health inequities among countries in the Global South with limited access to essential medical products, leading to a higher infection and mortality rate, especially among vulnerable populations. Despite tremendous progress in global health financing, the estimated annual financing gap in developing countries is projected to reach US$371 billion per year by 2030. Therefore, developing market-shaping strategies is of great importance in ensuring adequate supply, affordable prices, and equitable access to essential medical products in low-and middle-income co",
82,pubmed,Securing accelerated access to long-acting injectable cabotegravir for HIV prevention in low- and middle-income countries.,2023,Journal of the International AIDS Society,10.1002/jia2.26101,37439082,"Reductions in HIV acquisition have slowed, and the global community is significantly off track from global goals. Oral pre-exposure prophylaxis (PrEP) alone cannot address the diverse needs of the millions of people at risk of HIV acquisition. Long-acting injectable cabotegravir (CAB-LA) received United States Food and Drug Administration approval for HIV prevention in December 2021. When studied, CAB-LA demonstrated high effectiveness, provides months of protection versus daily use, is preferred by some users and has the potential to achieve commodity cost reduction. These factors position CA",
83,pubmed,Situation analysis on the regulation of nanomedicines in Southern Africa.,2023,Frontiers in medicine,10.3389/fmed.2023.1098830,37153083,"Medical products incorporating nanoparticle drug delivery systems (nanomedicines) are therapeutic or imaging agents, which comprise a delivery system within the nanometer size range (1 - 1000 nm). As medical products, nanomedicines meet definitions of medicines according to various national legislations for regulation of medicines. However, for the regulation of nanomedicines, additional assessments including toxicological issues have to be considered. These complexities require extra regulatory effort. In the resource-limited context of low- and middle-income countries, many National Medicine",
84,pubmed,Reducing uncertainties in quantitative adverse outcome pathways by analysis of thyroid hormone in the neonatal rat brain.,2023,Toxicological sciences : an official journal of the Society of Toxicology,10.1093/toxsci/kfad040,37099719,"A number of xenobiotics interfere with thyroid hormone (TH) signaling. Although adequate supplies of TH are necessary for normal brain development, regulatory reliance on serum TH as proxies for brain TH insufficiency is fraught with significant uncertainties. A more direct causal linkage to neurodevelopmental toxicity induced by TH-system disrupting chemicals is to measure TH in the target organ of most concern, the brain. However, the phospholipid-rich matrix of brain tissue presents challenges for TH extraction and measurement. We report optimized analytical procedures to extract TH in brai",
85,pubmed,Evaluation of Risk-Based Approaches to the Registration of Medicines: Current Status Among African Regulatory Authorities.,2023,Pharmaceutical medicine,10.1007/s40290-023-00472-0,37074548,"Despite the worldwide need for increased access to safe and effective medicines, there is a lack of innovative medicines in many low- to middle-income countries. On the African continent, this is partly due to capacity limitations of National Regulatory Authorities (NRAs). One important approach to address this issue is work sharing and regulatory reliance. Therefore, the aim of this study of regulatory authorities on the African continent was to identify which risk-based approaches are being used as well as their foreseen role in the future. The study employed a questionnaire to identify whic",
86,pubmed,Comparative Expedited Regulatory Programs of U.S Food & Drug Administration and Project Orbis Partners.,2023,Therapeutic innovation & regulatory science,10.1007/s43441-023-00522-4,37072651,"Project Orbis was initiated in May 2019 by the Oncology Center of Excellence to facilitate faster patient access to innovative cancer therapies by providing a framework for concurrent submissions and review of oncology products among international partners. Since its inception, Australia's Therapeutic Goods Administration (TGA), Canada's Health Canada (HC), Singapore's Health Sciences Authority (HSA), Switzerland's Swissmedic (SMC), Brazil's National Health Surveillance Agency (ANVISA), United Kingdom's Medicines and Healthcare Products Regulatory Agency (MHRA), and most recently Israel's Mini",
87,pubmed,From the European Medicines Agency to Project Orbis: new activities and challenges to facilitate UK oncology drug approval following Brexit.,2023,The Lancet. Oncology,10.1016/S1470-2045(22)00701-X,36990613,"The departure of the UK from the European Union (EU) and affiliated European regulatory bodies, including the European Medicines Agency, on Dec 31, 2020, has resulted in the Medicines and Healthcare products Regulatory Agency becoming an independent national regulator. This change has required a fundamental transformation of the UK drug regulatory landscape, creating both opportunities and challenges for future development of oncology drugs. New UK pharmaceutical policies have sought to make the UK an attractive market for drug development and regulatory review, by offering expedited review pa",
88,pubmed,Regulatory performance of the East African Community joint assessment procedure: The way forward for regulatory systems strengthening.,2023,Regulatory toxicology and pharmacology : RTP,10.1016/j.yrtph.2023.105383,36933643,"Seven national medicines regulatory authorities in the East African Community (EAC) have embraced regulatory reliance, harmonization and work sharing through the EAC Medicines Regulatory Harmonization programme. Measuring the performance of regulatory systems provides key baseline information to build on regulatory system-strengthening strategies. Therefore, the aim of the study was to evaluate the regulatory performance of the EAC joint scientific assessment of applications approved between 2018 and 2021. Utilising a data metrics tool, information was collected reflecting timelines for variou",
89,pubmed,The pipeline for drugs for control and elimination of neglected tropical diseases: 1. Anti-infective drugs for regulatory registration.,2023,Parasites & vectors,10.1186/s13071-022-05581-4,36859332,"The World Health Organization 'Ending the neglect to attain the Sustainable Development Goals: A road map for neglected tropical diseases 2021-2030' outlines the targets for control and elimination of neglected tropical diseases (NTDs). New drugs are needed to achieve some of them. We are providing an overview of the pipeline for new anti-infective drugs for regulatory registration and steps to effective use for NTD control and elimination. Considering drugs approved for an NTD by at least one stringent regulatory authority: fexinidazole, included in WHO guidelines for Trypanosoma brucei gambi",
90,pubmed,"Independent control of COVID-19 vaccines by EU Official Control Authority Batch Release: challenges, strengths and successes.",2024,NPJ vaccines,10.1038/s41541-023-00617-x,36823287,"Vaccines have been a key tool in stemming the tide of the COVID-19 pandemic. The rapid development of effective vaccines against COVID-19, together with their regulatory approval and wide scale distribution has been achieved in an impressively short period thanks to the intense efforts of many. In parallel to vaccine development, the EU considered it important to prepare for the independent control of the COVID-19 vaccines, including testing, to help ensure that only vaccines that comply with the approved quality requirements reach the public and to help improve/increase public confidence in t",
91,pubmed,Strengthening clinical development activities and preparedness for vaccine manufacturers from emerging countries: Results of a survey.,2023,Vaccine: X,10.1016/j.jvacx.2022.100255,36654839,"Vaccine development, in most cases, is a long, complex process, often lasting years and involving a combination of public and private stakeholders. Particularly, the vaccine clinical development process is highly regulated by several guidelines, regulatory pathways and science-based recommendations from experts. Designing and executing a successful clinical development plan for any candidate vaccine requires a solid scientific, medical, operational and regulatory knowledge and expertise, to comply with regulations and assure adequate benefit-risk balance for the product to be used in mass vacc",
92,pubmed,"Meeting report: Advancing accelerated regulatory review with Real-Time Oncology Review (RTOR), Project Orbis, and the Product Quality Assessment Aid.",2022,AAPS open,10.1186/s41120-022-00066-1,36530577,"The American Association of Pharmaceutical Scientists (AAPS) Chemistry, Manufacturing, and Controls (CMC) Community hosted two virtual panel discussions focusing on several novel regulatory review pathways for innovative oncology products: Real-Time Oncology Review (RTOR), Project Orbis, and the Product Quality Assessment Aid (PQAAid). The panel sessions were held on August 27, 2021, for the discussion of RTOR, and January 21, 2022, for the discussion of Project Orbis and the PQAAid. Both panel sessions included representatives from the US Food and Drug Administration (FDA) and subject matter ",
93,pubmed,Assessment of serological responses following vaccination campaigns with type 2 novel oral polio vaccine: a population-based study in Tajikistan in 2021.,2022,The Lancet. Global health,10.1016/S2214-109X(22)00412-0,36400086,"Novel oral poliovirus vaccine type 2 (nOPV2) was used to control an outbreak of type 2 circulating vaccine derived poliovirus (cVDPV2) in Tajikistan, in 2021. We measured seroconversion and seroprevalence of type 2 polio antibodies in children who were reported to have received two doses of nOPV2 in outbreak response campaigns. In this community serosurvey, children born after Jan 1, 2016 were enrolled from seven districts in Tajikistan. Dried blood spot cards were collected before nOPV2 campaigns and after the first and second rounds of the campaigns and were sent to the Centers for Disease C",
94,pubmed,Regulatory Reform Outcomes and Accelerated Regulatory Pathways for New Prescription Medicines in Australia.,2023,Therapeutic innovation & regulatory science,10.1007/s43441-022-00465-2,36271207,"National Regulatory Authorities (NRAs) globally are facing the challenge of evaluating pharmaceutical products in a speedy manner, whilst simultaneously ensuring adequate efficacy, safety and quality of approved products. Additionally, common expectations include that the evaluation process is competent, flexible, commensurate with risk, efficient and rapid. In 2014, the Australian regulatory system was out of step with global regulatory developments which led to a comprehensive regulatory review and reform process. As part of the reforms, two Facilitated Regulatory Pathways (FRP) were develop",
95,pubmed,"Lot-to-lot consistency of a hexavalent DTwP-IPV-HB-PRP∼T vaccine and non-inferiority to separate DTwP-HB-PRP∼T and IPV antigen-matching vaccines at 6-8, 10-12, and 14-16 weeks of age co-administered with oral rotavirus vaccine in healthy infants in India: A multi-center, randomized, controlled study.",2022,Vaccine: X,10.1016/j.jvacx.2022.100216,36164460,"Combination vaccines reduce the number of pediatric injections but must be as safe, immunogenic, and effective as each of the individual vaccines given separately. Additionally, consistency in manufacturing lots is essential for WHO prequalification. This study aimed to establish the lot-to-lot consistency of a fully liquid, hexavalent diphtheria (D)-tetanus (T)-whole-cell pertussis (wP)-inactivated poliovirus (IPV)-hepatitis B (HB)- A Phase III, randomized, active-controlled, and open-label study was conducted at multiple centers across India. Healthy infants who had received a birth dose of ",
96,pubmed,A novel tool to eradicate an ancient scourge: the novel oral polio vaccine type 2 story.,2023,The Lancet. Infectious diseases,10.1016/S1473-3099(22)00582-5,36162417,"The recent detection of vaccine-derived poliovirus (VDPV) in London (UK) and a case of paralytic polio in New York (USA) have highlighted how the scourge of poliomyelitis has not been totally overcome and remains an international problem, not confined to Afghanistan and Pakistan (where wild-type 1 poliovirus remains endemic) or as outbreaks of circulating VDPV in countries in Africa. To address the risk of circulating VDPVs, a global collaborative effort over the past decade has enabled the development of novel oral polio vaccine type 2 (nOPV2) that is as immunogenic as the current Sabin strai",
97,pubmed,Collaborative reliance in medicine safety and quality regulation: Investigation of experiences in handling N-nitrosamine impurities among ZaZiBoNa participating countries.,2025,Frontiers in medicine,10.3389/fmed.2022.975032,36160156,"The presence of N-nitrosamine impurities in medicines raised concerns globally as they are genotoxic and probable human carcinogens. A review of N-nitrosamine impurities in medicines provides an opportunity for National Regulatory Authorities (NRAs) to ensure that corrective and preventive actions are applied so that safe and good quality medicines are made available to the public. This study aimed to investigate the experiences on reviews conducted by NRAs from various Southern African Development Community countries which participate in the regional work-sharing forum, ZaZiBoNa, on the quali",
98,pubmed,The clinical effect of point-of-care HIV diagnosis in infants: a systematic review and meta-analysis.,2022,"Lancet (London, England)",10.1016/S0140-6736(22)01492-1,36116479,"Timely diagnosis and treatment of HIV is crucial in HIV-exposed infants to prevent the high rates of mortality seen during the first 2 years of life if HIV is untreated. However, challenges with sample transportation, testing, and result delivery to caregivers have led to long delays in treatment initiation. We aimed to compare the clinical effect of point-of-care HIV testing versus laboratory-based testing (standard of care) in HIV-exposed infants. We did a systematic review and meta-analysis and searched PubMed, MEDLINE, Cochrane Central Register of Controlled Trials, Embase, Conference Proc",
99,pubmed,Experience of Rural Family Caregivers for Older Adults in Co-Residential Family Care Arrangements in Central Ethiopia: Motives of Family Caregivers in Reciprocal Relationship.,2022,Patient preference and adherence,10.2147/PPA.S378153,36090123,"This study aimed to describe the experience of rural family caregivers' motive to care for older adults in rural Ethiopia. We used a descriptive phenomenological study method. Data from semi-structured interviews with purposively sampled caregivers were inductively coded and developed into themes. Mechanisms were used to increase the trustworthiness of the study. The main theme that emerged from the data as motives for caregiving for rural older adults are traditional norms of filial responsibility and indebtedness, religious values, quality of a relationship, and older adults' reciprocity mat",
100,pubmed,Regulatory reliance pathways during health emergencies: enabling timely authorizations for COVID-19 vaccines in Latin America.,2022,Revista panamericana de salud publica = Pan American journal of public health,10.26633/RPSP.2022.115,36060200,"To map the timing and nature of regulatory reliance pathways used to authorize COVID-19 vaccines in Latin America. An observational study was conducted assessing the characteristics of all COVID-19 vaccine authorizations in Latin America. For every authorization it was determined whether reliance was used in the authorization process. Subgroups of reference national regulatory authorities (NRAs) and non-reference NRAs were compared. 56 authorizations of 10 different COVID-19 vaccines were identified in 18 countries, of which 25 (44.6%) used reliance and 12 (21.4%) did not. For the remaining 19",
101,pubmed,Women Physicians in Academic Medicine of Japan.,2022,JMA journal,10.31662/jmaj.2021-0116,35992278,"Japan is a well-qualified country in promoting scientific advancement, but female scientists are too few in academic medicine positions. The government of Japan announced that the share of women in leadership positions accounted to at least 30% by 2020 in all fields in society. The number of female students also increased, but it was not much higher than other Organisation for Economic Co-operation and Development (OECD) countries. Women students always have higher passing frequencies in national examination for medical practitioners in Japan. The potential gap between physician gender and aca",
102,pubmed,Regulatory reliance for convergence and harmonisation in the medical device space in Asia-Pacific.,2022,BMJ global health,10.1136/bmjgh-2022-009798,35985696,"While some sort of regulatory convergence and harmonisation are often needed for achieving regulatory reliance, in reality, regulatory reliance as a strategy towards convergence and harmonisation has never been more significant in Asia-Pacific (APAC). A sustained, rapid and large-scale provision of medical devices, including articles and apparatus used in diagnosis, care, treatment or prevention of disease and softwares, etc, across national boundaries, is the key to winning the fight against future pandemics and improving people's well-being in such a populous and geographically diverse regio",
103,pubmed,Understanding US Physician and Pharmacist Attitudes Toward Biosimilar Products: A Qualitative Study.,2022,"BioDrugs : clinical immunotherapeutics, biopharmaceuticals and gene therapy",10.1007/s40259-022-00545-7,35962911,"Biosimilars account for 30-40% of biologic medications dispensed in the United States (US), yet healthcare providers in relevant medical specialties have limited awareness of biosimilars and their characteristics. Likewise, many providers perceive biosimilars as less safe and effective than original biologics and are more comfortable prescribing original biologics to patients. We conducted in-person focus groups at three clinical sites in California and Texas (n = 49) to explore the reasons behind US healthcare providers' limited understanding of, cautious attitudes toward, and reluctance to p",
104,pubmed,Reliance is key to effective access and oversight of medical products in case of public health emergencies.,2022,Expert review of clinical pharmacology,10.1080/17512433.2022.2088503,35945703,"Responding to new threats and public health emergencies (PHE) creates serious challenges to regulators. The pandemic due to SARS-CoV-2 has been the catalyzer for change in global and local regulatory practices. Intensified collaboration, rapid and coordinated actions, and reliance mechanisms were key elements of the regulators' response to COVID-19 for all regulatory functions. This article presents how collaboration and reliance among regulators were crucial tools for the regulatory responses to COVID-19, describes the reliance approaches for authorization of COVID-19 vaccines and other commo",
105,pubmed,Project Orbis: the UK experience after 1 year.,2022,The Lancet. Oncology,10.1016/S1470-2045(22)00377-1,35901819,,
106,pubmed,Evaluation of the Effectiveness and Efficiency of the East African Community Joint Assessment Procedure by Member Countries: The Way Forward.,2022,Frontiers in pharmacology,10.3389/fphar.2022.891506,35865962,,
107,pubmed,"Cooperation Agreements, Memorandums of Understanding, and Letters of Intent as Instruments to Facilitate the Implementation of Reliance in Latin America.",2022,Clinical therapeutics,10.1016/j.clinthera.2022.06.005,35798570,"For more than a decade, the World Health Organization, Pan American Health Organization, Pan-American Network or Drug Regulatory Harmonization, and the International Conference of Drug Regulatory Authorities, have encouraged regulators to adopt reliance and recognition pathways to reduce duplication, improve efficiency and efficacy, and strengthen regulatory capabilities, in order to facilitate marketing authorization approval, thereby maintaining supply chain integrity. Several factors have limited the more widespread implementation of reliance pathways in Latin America, among which is having",
108,pubmed,Rotaviruses: From Pathogenesis to Disease Control-A Critical Review.,2022,Viruses,10.3390/v14050875,35632617,"Since their first recognition in human cases about four decades ago, rotaviruses have remained the leading cause of acute severe dehydrating diarrhea among infants and young children worldwide. The WHO prequalification of oral rotavirus vaccines (ORV) a decade ago and its introduction in many countries have yielded a significant decline in the global burden of the disease, although not without challenges to achieving global effectiveness. Poised by the unending malady of rotavirus diarrhea and the attributable death cases in developing countries, we provide detailed insights into rotavirus bio",
109,pubmed,Regulatory Authority Evaluation of the Effectiveness and Efficiency of the ZaZiBoNa Collaborative Medicines Registration Initiative: The Way Forward.,2022,Frontiers in medicine,10.3389/fmed.2022.898743,35547217,"ZaZiBoNa, the work-sharing initiative in the Southern African Development Community (SADC) that has been in operation for 8 years has successfully assessed over 300 dossiers/applications, with an overall median time to recommendation of 12 months. All 16 SADC countries participate in the initiative as either active or non-active members. While the successes of ZaZiBoNa are evident, some challenges still exist. The aim of this study was to solicit the views of the participating authorities on the effectiveness and efficiency of the current operating model of the ZaZiBoNa initiative. Data were c",
110,pubmed,Pharmaceutical Industry Evaluation of the Effectiveness and Efficiency of the ZaZiBoNa Collaborative Medicines Registration Initiative: The Way Forward.,2023,Frontiers in medicine,10.3389/fmed.2022.898725,35547215,"The common technical document (CTD) format harmonised the requirements for the registration of medicines, which had traditionally differed from country to country, making it possible for countries to collaborate and conduct joint reviews of applications. One such collaborative medicines registration initiative is the Southern African Development Community ZaZiBoNa, established in 2013. A recent study was carried out with the nine active member regulatory authorities of the ZaZiBoNa to determine their views on its operational effectiveness and efficiency. Having obtained the authorities' views,",
111,pubmed,Delay in Vaccine Access in ASEAN Countries.,2022,International journal of environmental research and public health,10.3390/ijerph19073786,35409470,"Background: The introduction of new vaccines has been delayed in some countries in the Asia-Pacific region, which has led to delays in accessing vaccines for target patients. However, the approval lag of vaccines in the Asia-Pacific region has not been assessed. The objective of this study is to assess the availability and approval lag of vaccines in Asia-Pacific countries and compare them among Asia-Pacific countries, the United States (US), and Europe (EU). Methods: The information on vaccines prequalified by the World Health Organization (WHO) between 2010 and 2019 was obtained primarily fr",
