"AU","TI","SO","PY","AB","DE","ID"
"Linda G Mudyiwenyama; Star Khoza; Admire Dube","Situation analysis on the regulation of nanomedicines in Southern Africa.","Frontiers in medicine",2023,"Medical products incorporating nanoparticle drug delivery systems (nanomedicines) are therapeutic or imaging agents, which comprise a delivery system within the nanometer size range (1 - 1000 nm). As medical products, nanomedicines meet definitions of medicines according to various national legislations for regulation of medicines. However, for the regulation of nanomedicines, additional assessments including toxicological issues have to be considered. These complexities require extra regulatory effort. In the resource-limited context of low- and middle-income countries, many National Medicines Regulatory Authorities (NMRAs) lack resources and capacities to effectively assure the quality of medicinal products in their countries. With emerging trends in innovative technologies, including nanotechnology, this burden is worsened. The need to overcome regulatory challenges drove the formation of a work sharing initiative in the Southern African Development Community (SADC), ZaZiBoNA in 2013. Regulatory agencies participating in this initiative cooperate in the assessment of applications for registration of medicines. A cross-sectional exploratory study design with qualitative techniques was used to investigate the status of the regulation of nanomedicines in Southern African countries in particular those participating in the ZaZiBoNA initiative. The study found that in general, NMRAs are aware of the existence of nanomedicines and they apply legislation applicable to other medical products. The NMRAs however neither have specific definition for nanomedicines and technical guidance documents, nor technical committees specific for consideration of nanomedicines. Collaboration with external experts or organisations in the regulation of nanomedicines was also found to be lacking. Capacity building and collaboration in the area of regulation of nanomedicines is strongly encouraged.","African Medicines Agency; ZaZiBoNA; medical products regulation; nanomedicine; regulation of nanomedicines; regulatory workforce capacity building","10.3389/fmed.2023.1098830"
"Neil McAuslane; Magda Bujar; Tariro Sithole; Nancy Ngum; Mercy Owusu-Asante; Stuart Walker","Evaluation of Risk-Based Approaches to the Registration of Medicines: Current Status Among African Regulatory Authorities.","Pharmaceutical medicine",2023,"Despite the worldwide need for increased access to safe and effective medicines, there is a lack of innovative medicines in many low- to middle-income countries. On the African continent, this is partly due to capacity limitations of National Regulatory Authorities (NRAs). One important approach to address this issue is work sharing and regulatory reliance. Therefore, the aim of this study of regulatory authorities on the African continent was to identify which risk-based approaches are being used as well as their foreseen role in the future. The study employed a questionnaire to identify which risk-based models are used for the regulatory approval of medicines and to determine which frameworks are in place to enable a risk-based approach, as well as to provide insight into the future direction for risk-based models. The questionnaire was sent electronically to 26 NRAs in the African Continent. Twenty-one authorities (80%) completed the questionnaire. Work sharing was the most commonly used model, followed closely by unilaterial reliance, information sharing, and collaborative review. These methods were perceived to be an effective and efficient use of resources, enabling faster medicine availability for patients. The unilateral reliance approach by the authorities included abridged (85%), verification (70%) and recognition (50%) models for a range of products. However, challenges included a lack of guidelines to undertake a reliance review together with resource constraints, while access to assessment reports was the most common barrier to using a unilateral reliance model. Many authorities in Africa have adopted a risk-based approach to medicines registration and created work sharing, unilateral reliance pathways and regionalisation models to facilitate the availability of medicines. The authorities believe that in future, assessment routes should move from stand-alone reviews to risk-based models. However, this study indicated that there would be challenges to implement this approach in practice, which would include improving resource capacity and the number of expert reviewers as well as implementing electronic tracking systems.","","10.1007/s40290-023-00472-0"
"Francesco Berlanda Scorza; Laura B Martin; Audino Podda; Rino Rappuoli","A strategic model for developing vaccines against neglected diseases: An example of industry collaboration for sustainable development.","Human vaccines & immunotherapeutics",2022,"Infectious diseases continue to disproportionately affect low- and middle-income countries (LMICs) and children aged <5 y. Developing vaccines against diseases endemic in LMICs relies mainly on strong public-private collaborations, but several challenges remain. We review the operating model of the GSK Vaccines Institute for Global Health (GVGH), which aims to address these challenges. The model involves i) selection of vaccine targets based on priority ranking for impact on global health; ii) development from design to clinical proof-of-concept; iii) transfer to an industrial partner, for further technical/clinical development, licensing, manufacturing, and distribution. Cost and risks associated with pre-clinical and early clinical development are assumed by GVGH, increasing the probability to make the vaccine more affordable in LMICs. A conjugate vaccine against typhoid fever, Vi-CRM","LMICs; Vaccine; global health; infectious diseases; typhoid fever","10.1080/21645515.2022.2136451"
"Nancy Ngum; Jane Mashingia; Margareth Ndomondo-Sigonda; Stuart Walker; Sam Salek","Evaluation of the effectiveness and efficiency of the East African community joint assessment procedure by pharmaceutical companies: Opportunities for improvement.","Frontiers in pharmacology",2022,"","EAC joint assessment procedure EAC-MRH; applicants; common technical documents; effectiveness; efficiency; joint assessment procedure; pharmaceutical companies","10.3389/fphar.2022.1031289"
"Cornelius A Omatola; Ademola O Olaniran","Rotaviruses: From Pathogenesis to Disease Control-A Critical Review.","Viruses",2022,"Since their first recognition in human cases about four decades ago, rotaviruses have remained the leading cause of acute severe dehydrating diarrhea among infants and young children worldwide. The WHO prequalification of oral rotavirus vaccines (ORV) a decade ago and its introduction in many countries have yielded a significant decline in the global burden of the disease, although not without challenges to achieving global effectiveness. Poised by the unending malady of rotavirus diarrhea and the attributable death cases in developing countries, we provide detailed insights into rotavirus biology, exposure pathways, cellular receptors and pathogenesis, host immune response, epidemiology, and vaccination. Additionally, recent developments on the various host, viral and environmental associated factors impacting ORV performance in low-and middle-income countries (LMIC) are reviewed and their significance assessed. In addition, we review the advances in nonvaccine strategies (probiotics, candidate anti-rotaviral drugs, breastfeeding) to disease prevention and management.","diarrhea; epidemiology; pathogenesis; rotavirus; vaccination","10.3390/v14050875"
"Dario Trapani; Giuseppe Curigliano","The global landscape of drug development of trastuzumab biosimilars.","Journal of cancer policy",2022,"Limited access to prevention, screening, timely diagnosis, affordable and effective treatment is the main driver of disparities in cancer care. The high costs represent a common barrier for the affordable access to biological agents. The only biological agent included in the World Health Organization list of essential medicines for the management of breast cancer is trastuzumab, and its biosimilars. We reviewed the pivotal trials for approved trastuzumab biosimilars and searched the proposed biosimilars under investigation in clinical trials, then mapped them against metrics of national epidemiology and health system capacity. Thirteen clinical trials were extracted. Across 40 countries and 825 research facilities, more than three- fourth enrolling centers were located in low- and middle- income countries (n = 633) Correlation analysis suggested that the research and drug development of biosimilars was prioritized in settings where weaker health systems can result in poorer cancer- related outcomes and higher out of pocket expenses (range of r: -0,37; + 0.53; all p-values <0.05). Eleven countries had no biosimilars approved at the time of the analysis: in these countries, the drug development of biosimilars was more represented. The drug development of biosimilars occurs significantly in low- and middle- income countries. Our correlative findings must be interpreted cautiously, to understand if the biosimilar drug development is congruent with the national health priorities of cancer control. Health, societal and economic impacts on populations should be accounted, as relevant metrics for clinical trial implementations. The implementation of cancer research should be developed under the national cancer control priorities, to ensure consistency across the evidence- informed relevant national policies, thus result in a population health impact. Biosimilars drug development can drive tangible population health benefits by accelerating the uptake of more sustainable health interventions and shaping more efficient regulatory environments.","Biosimilars; Breast cancer; Prequalification; SDG; Similar biotherapeutic products; Trastuzumab; UHC","10.1016/j.jcpo.2021.100273"
"Mic McGoldrick; Thierry Gastineau; Diane Wilkinson; Cristiana Campa; Norbert De Clercq; Andrea Mallia-Milanes; Olivier Germay; Jyothsna Krishnan; M Van Ooij; Michael P Thien; Peter J Mlynarczyk; Edward Saltus; Philippe Juvin; Didier Clenet; Ana Basso; Nora Dellepiane; Sonia Pagliusi; Monique Collaço de Moraes Stávale; Venkatraman H Sivaramakrishnan; Samir Desai","How to accelerate the supply of vaccines to all populations worldwide? Part I: Initial industry lessons learned and practical overarching proposals leveraging the COVID-19 situation.","Vaccine",2022,"The COVID-19 pandemic has shown itself to be an unprecedented challenge for vaccines which are widely recognized as the most important tool to exit this pandemic. We have witnessed vaccine scientists, developers, manufacturers, and stakeholders deliver several vaccines in just about a year. This is an unprecedented achievement in an environment that was not ready to manage such a global public health crisis. Indeed, the pandemic has highlighted some hurdles that need to be addressed in the system in order to streamline the regulatory processes and be in a situation where life-saving pharmaceutical solutions such as vaccines can be delivered quickly and equitably to people across the globe. More precisely, trade-offs had to be made between the need for regulatory flexibility in the requirements for manufacturing and controls to enable rapid availability of large volumes of vaccines vs the increased stringency and the lack of harmonization in the regulatory environment for vaccines globally. It is also characterized by a high heterogeneity in terms of review and approval processes, limiting equitable and timely access. We review and highlight the challenges relating to several topics, including process validation, comparability, stability, post-approval-changes, release testing, packaging, genetically modified organisms and variants. We see four areas for accelerating access to vaccines which provide solutions for the regulatory concerns, (1) science- and risk-based approaches, (2) global regulatory harmonization, (3) use of reliance, work-sharing, and recognition processes and (4) digitalization. These solutions are not new and have been previously highlighted. In recent months, we have seen some progress at the health authority level, but still much needs to be done. It is now time to reflect on the first lessons learnt from a devastating pandemic to ultimately ensure quick and wide access to medicines and vaccines for the citizens and patients.","Covid-19; Digital; Harmonization; Regulatory convergence; Reliance; Risk-based; Science-based; Streamline; Vaccine","10.1016/j.vaccine.2021.11.098"
"Margaret Savage; Sarah Albala; Frederic Seghers; Rainer Kattel; Cynthia Liao; Mathilde Chaudron; Novia Afdhila","Applying market shaping approaches to increase access to assistive technology in low- and middle-income countries.","Assistive technology : the official journal of RESNA",2022,"Development outcomes are inextricably linked to the health of the marketplace that delivers products and services to people in low- and middle-income countries (LMIC). Shortcomings in the market for assistive technology (AT) contribute to low access in LMIC. Market shaping is aimed at improving a market's specific outcomes, such as access to high quality, affordable AT, by targeting the root causes of these shortcomings. The paper summarizes the findings of market analyses conducted under the UK aid funded AT2030 programme in support of ATscale and aims to discuss how market shaping can help more people gain access to the AT that they need and what are the best mechanisms to unlock markets and commercial opportunity in LMICs. The paper also explores how market shaping for AT markets could be part of a mission-oriented approach AT policy. A mission-oriented approach can help accelerate progress toward a common objective among stakeholders, at country or global level. While market-shaping activities direct the outcomes of the market toward a specific end goal, such as access to quality, affordable products and services, missions are more comprehensive and include other policy interventions and stakeholder collaborations in order to create a robust and sustainable structure.","assistive technology; low-and middle-income countries; market-shaping; missions","10.1080/10400435.2021.1991050"
"Ganesh Kumar Rai; Tarun Saluja; Shipra Chaudhary; Dipesh Tamrakar; Piush Kanodia; Bishnu Rath Giri; Rajeev Shrestha; Surendra Uranw; Deok Ryun Kim; Jae Seung Yang; Il-Yeon Park; Seung-Eun Kyung; Sridhar Vemula; Jagadeesh Reddy E; Bomi Kim; Birendra Prasad Gupta; Sue Kyoung Jo; Ji Hwa Ryu; Ho Keun Park; Jong Hoon Shin","Safety and immunogenicity of the Vi-DT typhoid conjugate vaccine in healthy volunteers in Nepal: an observer-blind, active-controlled, randomised, non-inferiority, phase 3 trial.","The Lancet. Infectious diseases",2022,"Typhoid fever is an endemic disease in many low-income and middle-income countries. The 2018 WHO position paper recommends that countries should consider typhoid vaccination in high-risk groups and for outbreak control. To address the typhoid vaccine supply and demand gap, a typhoid Vi polysaccharide-diphtheria toxoid (Vi-DT) conjugate vaccine development effort was undertaken to achieve WHO prequalification and contribute to the global supply of typhoid conjugate vaccine. The main aim of this study was to show immune non-inferiority of the Vi-DT vaccine compared with the WHO prequalified Vi polysaccharide-tetanus toxoid (Vi-TT) conjugate vaccine (Typbar TCV; Bharat Biotech India, Hyderabad, India) in participants of various ages from an endemic country. We did an observer-blind, active-controlled, randomised, non-inferiority, phase 3 trial at four hospitals in Kathmandu, Dhulikhel, Dharan, and Nepalgunj in Nepal. Eligible participants were healthy individuals aged 6 months to 45 years for whom informed consent was obtained, were willing to follow the study procedures and were available for the duration of the study. Patients with an acute or chronic illness that could interfere with interpretation of the study endpoints, or who were involved in any other clinical trial were excluded. Participants were randomly assigned (1:1:1:1) by block randomisation (block size of four and eight), stratified by age (6 months to <2 years, 2 years to <18 years, and 18 years to 45 years), into one of four groups (A-D). Participants in groups A-C received a single dose (25 μg; 0·5 mL) of Vi-DT test vaccine via intramuscular injection from one of three good manufacturing practice lots (group A received lot 1, group B received lot 2, and group C received lot 3), and those in group D received a single dose (25 μg; 0·5 mL) of the Vi-TT vaccine via intramuscular injection. All participants, site staff (except for those who administered the study vaccines), and those assessing the outcomes were masked to group assignment. The co-primary endpoints were: (1) non-inferiority of immunogenicity of the Vi-DT vaccine (pooled groups A-C) versus the Vi-TT vaccine (group D), measured by the anti-Vi IgG seroconversion rate at 4 weeks after vaccination; and (2) the lot-to-lot consistency of the Vi-DT vaccine, measured by immune equivalence of the anti-Vi IgG geometric mean titre (GMT) at 4 weeks after receipt of the three Vi-DT vaccine lots (lot 1 vs lot 2, lot 1 vs lot 3, and lot 2 vs lot 3). Non-inferiority of the Vi-DT vaccine compared with the Vi-TT vaccine was shown if the lower limit of the 97·5% CI for the difference between the seroconversion rates in Vi-DT vaccine groups A-C combined versus Vi-TT vaccine group D was above the predefined non-inferiority margin of -10%. Lot-to-lot immune equivalence was shown if the upper and lower bounds of the two-sided 99·17% CI around the GMT ratio for each pairwise lot-to-lot comparison was between 0·67 and 1·50, which is the predefined equivalence margin recommended by WHO. The co-primary immunogenicity endpoints were assessed in all randomised participants who had received their assigned vaccine and had completed at least one post-baseline immunogenicity assessment. Safety was descriptively summarised by group and age strata, and was assessed in all participants who had received one dose of the investigational vaccine. The trial is registered with ClinicalTrials.gov, NCT03933098. Between Nov 20, 2019, and March 10, 2020, 1854 individuals were screened, of whom 1800 were enrolled and randomly assigned to groups A-D (450 participants in each group). 1786 (99·2%; 443 in group A, 450 in group B, 447 in group C, and 446 in group D) were included in the immunogenicity assessments at 4 weeks post vaccination, and all 1800 participants were included in the safety analysis. In the immunogenicity analysis, the anti-Vi-IgG seroconversion rate in all age strata was 99·33% (97·5% CI 98·61 to 99·68; 1331 of 1340 participants) in Vi-DT vaccine groups A-C and 98·88% (97·10 to 99·57; 441 of 446) in Vi-TT vaccine group D. The difference in seroconversion rates between Vi-DT vaccine groups A-C combined versus Vi-TT group D was 0·47% (97·5% CI -0·68 to 1·61), indicating non-inferiority of the Vi-DT vaccine. Anti-Vi-IgG GMT ratios at 4 weeks post-vaccination were 1·02 (99·17% CI 0·85 to 1·22) for lot 1 versus lot 2, 1·02 (0·85 to 1·23) for lot 1 versus lot 3, and 1·01 (0·84 to 1·21) for lot 2 versus lot 3, indicating lot-to-lot equivalence according to the predefined, WHO-recommended equivalence margin. The proportion of participants reporting adverse events was similar between Vi-DT vaccine groups A-C and Vi-TT vaccine group D; 260 (19·3%) of 1350 participants in Vi-DT vaccine groups A-C and 115 (25·6%) of 450 in Vi-TT vaccine group D reported solicited adverse events within 7 days after vaccination, and 208 (15·4%) in Vi-DT vaccine groups A-C and 76 (16·9%) in Vi-TT vaccine group D reported unsolicited adverse events within 4 weeks after vaccination. Seven serious adverse events (four [0·3%] participants in Vi-DT vaccine groups A-C and three [0·7%] in Vi-TT vaccine group D), including one death in the Vi-TT vaccine group, were reported during the 24-week follow-up period, none of which were considered related to the investigational product. When administered as a single dose, the Vi-DT test vaccine was safe, immunogenic, and non-inferior to the Vi-TT vaccine at 4 weeks post vaccination. Equivalent immunogenicity of the three lots of Vi-DT vaccine was also shown, supporting the manufacturing process of this vaccine. Once prequalified by WHO, this vaccine could be an option for purchase by UN agencies. The Bill & Melinda Gates Foundation. For the Nepali translation of the abstract see Supplementary Materials section.","","10.1016/S1473-3099(21)00455-2"
"Daniel Berman; Sujith J Chandy; Oliver Cansdell; Krishnee Moodley; Balaji Veeraraghavan; Sabiha Y Essack","Global access to existing and future antimicrobials and diagnostics: antimicrobial subscription and pooled procurement.","The Lancet. Global health",2022,"The COVID-19 pandemic has underlined the importance of an efficient and equitable supply of and access to essential health products. These factors are equally pertinent to the antimicrobial resistance pandemic, in which access to a portfolio of existing and pipeline antimicrobials plus complementary diagnostics is crucial. This Viewpoint focuses on market shaping in low-income and middle-income countries (LMICs), where the need for effective antimicrobials and complementary diagnostics is most acute. We propose the creation of a subscription and pooled procurement model that consolidates the growing demand for a portfolio of antimicrobials and diagnostics in LMICs. Anchored by regional market leaders, these pooling mechanisms would guarantee consistent private-sector and public-sector access in participating countries, while creating conditions for long-term best practice in stewardship. Supported by data from South Africa and India, this proposal sets out an innovative approach to tackle the antimicrobial resistance crisis in LMICs.","","10.1016/S2214-109X(21)00463-0"
"Jill Durocher; Catherine Kilfedder; Laura J Frye; Beverly Winikoff; Karthik Srinivasan","A descriptive analysis of medical abortion commodity availability and pricing at retail outlets in 44 countries across four regions globally.","Sexual and reproductive health matters",2021,"Pharmacies in low- and middle-income countries play an important role in increasing the availability of medical abortion to individuals for self-use. We aimed to document the costs to users of medical abortion products at outlets across geographies and understand the diversity of available products, primarily in low- and middle-income countries or in places where access to abortion is restricted. A descriptive analysis of price data was completed for identified medical abortion products at retail outlets visited in 44 countries from November 2017 to February 2018. Median prices and ranges are reported in $US for mifepristone 200 mg tablets, misoprostol 200 mcg tablets, and combipacks. Misoprostol, mifepristone, and combipacks were found in 44, 19, and 16 countries, respectively. Nearly two-thirds of products (321/508) required a prescription. The median price of misoprostol was $0.63 per tablet (range $0.09-$27.63) based on 304 price points. Mifepristone and combipacks had fewer price points available ( Dans les pays à revenu faible et intermédiaire, les pharmacies jouent un rôle important pour élargir la disponibilité de l’avortement médicamenteux pour les individus en auto-administration. Nous souhaitions documenter les coûts pour les utilisateurs de produits d’avortement médicamenteux dans des points de vente dans différents lieux et comprendre la diversité des produits disponibles, principalement dans les pays à revenu faible ou intermédiaire ou là où l’accès à l’avortement est restreint. Une analyse descriptive des données sur les prix a été complétée pour des produits identifiés de l’avortement médicamenteux dans des points de vente au détail visités dans 44 pays de novembre 2017 à février 2018. Les prix médians et les fourchettes sont exprimés en dollars US pour les comprimés de 200 milligrammes de mifépristone, les comprimés de 200 microgrammes de misoprostol et les combipacks des deux produits. Le misoprostol, la mifépristone et les combipacks étaient disponibles dans 44, 19 et 16 pays, respectivement. Près des deux tiers des produits (321/508) exigeaient une ordonnance. Le prix médian du misoprostol était de $0,63 par comprimé (fourchette $0,09-$27,63) sur la base de 304 prix référencés. La mifépristone et les combipacks avaient moins de prix référencés disponibles (n = 59 et n = 44, respectivement). Les prix médians étaient de $11,78 par comprimé de mifépristone (fourchette $1,77-$37,83) et $11,18 par combipack (fourchette $3,50-$35,86). Dans l’ensemble, les prix étaient les plus élevés en Amérique latine et les moins chers en Asie du Sud/du Sud-Est. À peine 11,5% (7/61) des marques de misoprostol seul bénéficiaient d’une assurance qualité (c’est-à-dire qu’elles étaient approuvées par une autorité régulatrice rigoureuse ou présélectionnées par l’Organisation mondiale de la santé), contre 25,0% (4/16) des combipacks. On a observé de larges variations dans le prix des produits et leur disponibilité selon les endroits. La faible disponibilité de la mifépristone et des combipacks, en plus de la rareté des médicaments à qualité garantie et du coût élevé des médicaments pour l’avortement, sont des facteurs importants qui contrarient l’accès à des soins de qualité en cas d’avortement. Las farmacias en los países de bajos y medianos ingresos desempeñan un papel importante en aumentar la disponibilidad de pastillas de aborto con medicamentos para que las personas puedan autogestionar su aborto. Procuramos documentar los gastos de las usuarias en productos de aborto con medicamentos en puntos de venta en todas las regiones geográficas y entender la diversidad de los productos disponibles, principalmente en países de bajos y medianos ingresos o en lugares con acceso restringido a los servicios de aborto. Se realizó un análisis descriptivo de los datos de precios de los productos de aborto con medicamentos identificados en establecimientos minoristas visitados en 44 países entre noviembre de 2017 y febrero de 2018. La mediana de precios y gama de precios son reportadas en $US para tabletas de 200 mg de mifepristona, tabletas de 200 mcg de misoprostol y paquetes combinados. Misoprostol, mifepristona y paquetes combinados fueron encontrados en 44, 19 y 16 países, respectivamente. Para casi dos terceras partes de los productos (321/508) se necesitaba una receta médica. La mediana de precios de misoprostol fue de $0.63 por cada tableta (gama de $0.09 a $27.63) basada en 304 precios. Había menos precios disponibles para la mifepristona y los paquetes combinados (n = 59 y n = 44, respectivamente). La mediana de precios fue de $11.78 por cada tableta de mifepristona (gama de $1.77 a $37.83) y $11.18 por cada paquete combinado (gama de $3.50 a $35.86). En general, los precios más altos se encontraron en Latinoamérica y los más bajos en el sur y sudeste de Asia. Solo el 11.5% (7/61) del total de marcas únicas de misoprostol tenían calidad garantizada (es decir, estaban aprobadas por una autoridad normativa estricta o precalificadas por la Organización Mundial de la Salud), comparadas con el 25.0% (4/16) de los productos únicos de paquetes combinados. Hubo gran variación en los precios y en la disponibilidad de los productos en los diferentes entornos. La disponibilidad poco frecuente de mifepristona y paquetes combinados, así como la disponibilidad limitada de medicamentos de calidad garantizada y el alto costo de los medicamentos para inducir el aborto, son factores importantes que afectan el acceso a los servicios de aborto de alta calidad.","combipacks; medical abortion; mifepristone; misoprostol; pharmacy access; price","10.1080/26410397.2021.1982460"
"Amanda Rowlands; Asma Deeb; Asmahane Ladjouze; Rasha T Hamza; Salwa A Musa; Jamal Raza; Farida Jennane; Abdulsalam Abu-Libdeh; Jean-Pierre Chanoine; GPED CAH Working Group","Access to fludrocortisone and to hydrocortisone in children with congenital adrenal hyperplasia in the WHO Eastern Mediterranean Region: it takes a village….","BMJ global health",2021,"Congenital adrenal hyperplasia (CAH), if untreated, carries high morbidity and mortality. A higher incidence of CAH is expected in countries where consanguinity is common, such as in the countries of the WHO Eastern Mediterranean Region (EMRO). CAH is managed through lifelong treatment with fludrocortisone and hydrocortisone. In this analysis, performed in the 22 EMRO countries and territories plus Algeria, we review which countries offer a neonatal screening programme for CAH and describe the barriers and opportunities to access oral fludrocortisone and oral and injectable hydrocortisone. Neonatal CAH screening was only available nationally in Qatar, Kuwait and partially in Lebanon and Saudi Arabia. We reviewed the national lists of essential medicines (NEMLs) and found that 13/23 (57%) countries included fludrocortisone and 18/23 (78%) included oral hydrocortisone. Fludrocortisone was not included by any of the low-income countries and oral hydrocortisone was only included by one low-income country. We then contacted paediatric endocrinologists in each country to assess perceived availability of these medicines. Overall, there was a relatively good consistency between inclusion of fludrocortisone and hydrocortisone in the NEML and their actual availability in a country. We propose several mechanisms to improve access, including prequalification by the WHO, a common registration process for groups of countries, pooled procurement, working with local pharmaceutical companies, special access status for medicines not yet registered in a country and compounding. We suggest that access to medicines requires a collaboration between health professionals, families of patients, health authorities, pharmaceutical companies and the WHO.","child health; treatment","10.1136/bmjgh-2021-007195"
"Peter J Hotez; Carolina Batista; Yanis Ben Amor; Onder Ergonul; J Peter Figueroa; Sarah Gilbert; Mayda Gursel; Mazen Hassanain; Gagandeep Kang; David C Kaslow; Jerome H Kim; Bhavna Lall; Heidi Larson; Denise Naniche; Timothy Sheahan; Shmuel Shoham; Annelies Wilder-Smith; Samba O Sow; Nathalie Strub-Wourgaft; Prashant Yadav","Global public health security and justice for vaccines and therapeutics in the COVID-19 pandemic.","EClinicalMedicine",2023,"A Lancet Commission for COVID-19 task force is shaping recommendations to achieve vaccine and therapeutics access, justice, and equity. This includes ensuring","COVID-19; Health equity; Vaccine distribution; global governance; public health justice; public health security; therapeutics; vaccine access; vaccine development; vaccine technologies","10.1016/j.eclinm.2021.101053"
"Stéphane Chevaliez; Françoise Roudot-Thoraval; Christophe Hézode; Jean-Michel Pawlotsky; Richard Njouom","Performance of rapid diagnostic tests for HCV infection in serum or plasma.","Future microbiology",2022,"Lay abstract Diagnosis of hepatitis C infection is crucial in order to envisage elimination of hepatitis C virus (HCV). Diagnosis is usually based on the detection of antibodies in blood after phlebotomy in a centralized laboratory approach. New simpler testing strategies are urgently needed. We assessed the performance of several rapid tests for the detection of HCV antibodies. Rapid tests offer many advantages over classical tests because they are simple, easy-to-use, rapid and can perform close to the site of patient care. Most of the rapid tests included in our study showed satisfactory performance. They can confidently use to detect hepatitis C antibodies in clinical practice.","HCV antibodies; hepatitis C; low- and middle-income countries; rapid diagnostic test; screening","10.2217/fmb-2020-0295"
"Godfrey Osinde; Nixon Niyonzima; Vivienne Mulema; Deo Kyambadde; Yusuf Mulumba; Siraj Obayo; Ezra Anecho; Susan Watera; Mughuma Constance; Sylivestor Kadhumbula; Jackson Orem","Increasing access to quality anticancer medicines in low- and middle-income countries: the experience of Uganda.","Future oncology (London, England)",2021,"Cancer is one of the leading causes of death with 9.6 million deaths registered in 2018, of which 70% occur in Africa, Asia and Central and South America, the low-and middle-income countries (LMICs). The global annual expenditure on anticancer medicines increased from $96 billion in 2013 to $133 billion in 2017. This growth rate is several folds that of newly diagnosed cancer cases and therefore estimated to reach up to $200 billion by 2022. The Uganda Cancer Institute, Uganda's national referral cancer center, has increased access to cancer medicines through an efficient and cost-saving procurement system. The system has achieved cost savings of more than USD 2,000,000 on a total of 37 of 42 essential cancer medicines. This has resulted in 85.8% availability superseding the WHO's 80% target. All selected products were procured from manufacturers with stringent regulatory authority approval or a proven track record of quality products.","access initiatives; access to medicines; cancer; highly specialized drugs; low- and middle-income countries; minimum order quantity","10.2217/fon-2021-0117"
"Mohammed Majam; Alex Fischer; Elena Ivanova Reipold; Naleni Rhagnath; Vanessa Msolomba; Samanta T Lalla-Edward","A Lay-User Assessment of Hepatitis C Virus Self-Testing Device Usability and Interpretation in Johannesburg, South Africa.","Diagnostics (Basel, Switzerland)",2021,"Only 20% of people with hepatitis C virus (HCV) know their status. In low-income countries diagnosis is under 10%. Self-testing for HCV antibodies (HCVST) could expand the coverage of HCV testing services. Currently, there are no stringent regulatory authority (SRA) approved HCVSTs, therefore lay-user usability of three prototype kits was assessed. This was a cross-sectional observational study conducted with 171 (CareStart n = 60, Bioline n = 52, First Response n = 59) participants. Participants were given one of the three HCVST kits with only instructions for use (IFU) and asked to perform the test in front of a professional trained in rapid diagnostic tests (RDT). Usability indices were calculated based on the correctness of performing each step of the product-specific process followed by contrived results interpretation and a post-test interview. The usability index was 93.9% for CareStart, 90.7% for Bioline and 94.9% for First Response. Most errors were on incorrect handwashing, sample collection and transfer to the test device. An average of 93.1% of contrived results were correctly interpreted, with most errors related to interpreting invalid results. Most participants (n = 167) stated they would visit a clinic after a positive result. With negative results, nearly half (28/60 (46.7%)) stated they should condomize, while just over two-thirds of participants that used Bioline (35/52 (67.3%)) and First Response (38/59 (64.4%)) said they should re-test. Most participants (n = 162) found the devices easy to use. Participants liked that self-testing was fast, private and convenient, however there were some confusion with IFU steps and pictures, finger-pricking with the lancet, collecting blood after the finger-prick, and transferring the sample/buffer. Prototype HCVST kits exhibit high usability and result interpretation by lay-users, and should be considered for SRA approval.","HCV; rapid diagnostic test; viral hepatitis","10.3390/diagnostics11030463"
"Mark R Alderson; Vistasp Sethna; Lauren C Newhouse; Steve Lamola; Rajeev Dhere","Development strategy and lessons learned for a 10-valent pneumococcal conjugate vaccine (","Human vaccines & immunotherapeutics",2021,"Pneumococcal conjugate vaccines (PCVs) have proven to be the best way to prevent severe childhood pneumococcal disease but until recently have been difficult for many countries to afford sustainably. In 2008, the Serum Institute of India, Pvt. Ltd. and PATH entered into a collaboration, funded in part by the Bill & Melinda Gates Foundation, to respond to this problem by developing a PCV designed to be affordable, accessible, and protective against the pneumococcal serotypes causing the most morbidity and mortality in low- and middle-income countries. The resulting 10-valent PCV (","PATH; Pneumococcus; SIIPL; collaboration; low- and middle-income countries; pneumococcal conjugate vaccine; vaccine development","10.1080/21645515.2021.1874219"
"Anurag S Rathore; Ankita Bhargava","Regulatory considerations in biosimilars: Latin America region.","Preparative biochemistry & biotechnology",2021,"Development of biotherapeutic products has experienced steady growth over the past three decades. Expiration of patents on many biotherapeutics such as insulin, human growth hormone, and erythropoietin has opened the door for the development of biosimilars. The high cost of biotherapeutics has limited their accessibility, particularly in developing countries. Biosimilars offer the much- needed affordability and hence improved accessibility. Global agencies such as the World Health Organization are engaged in developing a prequalification program in order to help countries that do not have strong regulatory systems. This article summarizes the prospects of biosimilars in the Latin American market. Legal framework in various countries is also discussed.","regulatory framework; Human therapeutics; Latin America-Biosimilars","10.1080/10826068.2021.1876729"
